,State,County,ChronicConditions,Beneficiaries,Prevalence
21,AL,Autauga,Alcohol Abuse,5034.0,1.6687
22,AL,Autauga,Alzheimer's Disease/Dementia,5034.0,10.6476
23,AL,Autauga,Arthritis,5034.0,35.3
24,AL,Autauga,Asthma,5034.0,4.1319
25,AL,Autauga,Atrial Fibrillation,5034.0,8.9789
27,AL,Autauga,COPD,5034.0,13.0314
28,AL,Autauga,Cancer,5034.0,8.9392
29,AL,Autauga,Chronic Kidney Disease,5034.0,26.4203
30,AL,Autauga,Depression,5034.0,16.4879
31,AL,Autauga,Diabetes,5034.0,31.029
32,AL,Autauga,Drug/Substance Abuse,5034.0,3.1585
33,AL,Autauga,HIV/AIDS,5034.0,0.2384
34,AL,Autauga,Heart Failure,5034.0,15.9515
35,AL,Autauga,Hepatitis (Chronic Viral B & C),5034.0,0.3576
36,AL,Autauga,Hyperlipidemia,5034.0,52.4037
37,AL,Autauga,Hypertension,5034.0,64.998
38,AL,Autauga,Ischemic Heart Disease,5034.0,31.7441
39,AL,Autauga,Osteoporosis,5034.0,6.6945
40,AL,Autauga,Schizophrenia and Other Psychotic Disorders,5034.0,2.4831
41,AL,Autauga,Stroke,5034.0,4.1518
42,AL,Baldwin,Alcohol Abuse,26107.0,1.6969
43,AL,Baldwin,Alzheimer's Disease/Dementia,26107.0,11.0507
44,AL,Baldwin,Arthritis,26107.0,38.5069
45,AL,Baldwin,Asthma,26107.0,4.4586
46,AL,Baldwin,Atrial Fibrillation,26107.0,9.3615
47,AL,Baldwin,Autism Spectrum Disorders,26107.0,0.1034
48,AL,Baldwin,COPD,26107.0,11.3494
49,AL,Baldwin,Cancer,26107.0,8.9669
50,AL,Baldwin,Chronic Kidney Disease,26107.0,22.4767
51,AL,Baldwin,Depression,26107.0,16.2447
52,AL,Baldwin,Diabetes,26107.0,23.5492
53,AL,Baldwin,Drug/Substance Abuse,26107.0,3.5355
54,AL,Baldwin,HIV/AIDS,26107.0,0.1647
55,AL,Baldwin,Heart Failure,26107.0,12.7399
56,AL,Baldwin,Hepatitis (Chronic Viral B & C),26107.0,0.4711
57,AL,Baldwin,Hyperlipidemia,26107.0,52.5913
58,AL,Baldwin,Hypertension,26107.0,60.7155
59,AL,Baldwin,Ischemic Heart Disease,26107.0,32.3017
60,AL,Baldwin,Osteoporosis,26107.0,6.5117
61,AL,Baldwin,Schizophrenia and Other Psychotic Disorders,26107.0,1.9267
62,AL,Baldwin,Stroke,26107.0,3.7614
63,AL,Barbour,Alcohol Abuse,3406.0,1.8497
64,AL,Barbour,Alzheimer's Disease/Dementia,3406.0,11.7733
65,AL,Barbour,Arthritis,3406.0,38.7258
66,AL,Barbour,Asthma,3406.0,5.9014
67,AL,Barbour,Atrial Fibrillation,3406.0,7.3106
69,AL,Barbour,COPD,3406.0,11.0687
70,AL,Barbour,Cancer,3406.0,8.1621
71,AL,Barbour,Chronic Kidney Disease,3406.0,29.0076
72,AL,Barbour,Depression,3406.0,16.6471
73,AL,Barbour,Diabetes,3406.0,32.6483
74,AL,Barbour,Drug/Substance Abuse,3406.0,5.3729
75,AL,Barbour,HIV/AIDS,3406.0,0.5578
76,AL,Barbour,Heart Failure,3406.0,14.5625
77,AL,Barbour,Hepatitis (Chronic Viral B & C),3406.0,0.3523
78,AL,Barbour,Hyperlipidemia,3406.0,57.8685
79,AL,Barbour,Hypertension,3406.0,67.9683
80,AL,Barbour,Ischemic Heart Disease,3406.0,27.1873
81,AL,Barbour,Osteoporosis,3406.0,4.7563
82,AL,Barbour,Schizophrenia and Other Psychotic Disorders,3406.0,4.2866
83,AL,Barbour,Stroke,3406.0,4.6389
84,AL,Bibb,Alcohol Abuse,2072.0,2.027
85,AL,Bibb,Alzheimer's Disease/Dementia,2072.0,12.5965
86,AL,Bibb,Arthritis,2072.0,38.7066
87,AL,Bibb,Asthma,2072.0,4.5849
88,AL,Bibb,Atrial Fibrillation,2072.0,9.5077
90,AL,Bibb,COPD,2072.0,14.2375
91,AL,Bibb,Cancer,2072.0,7.6737
92,AL,Bibb,Chronic Kidney Disease,2072.0,31.805
93,AL,Bibb,Depression,2072.0,22.0077
94,AL,Bibb,Diabetes,2072.0,32.6255
95,AL,Bibb,Drug/Substance Abuse,2072.0,3.1853
97,AL,Bibb,Heart Failure,2072.0,18.1467
