,State,County,ChronicConditionAmount,Beneficiaries,Prevalence,PerCapitaMedicareSpending
4,AL,Autauga,0 to 1,1338,26.58,2205.6662
5,AL,Autauga,2 to 3,1416,28.13,5553.1539
6,AL,Autauga,4 to 5,1249,24.81,10424.6752
7,AL,Autauga,6+,1031,20.48,27300.1283
8,AL,Baldwin,0 to 1,7222,27.66,2205.9072
9,AL,Baldwin,2 to 3,8029,30.75,5936.9266
10,AL,Baldwin,4 to 5,6244,23.92,11022.2424
11,AL,Baldwin,6+,4612,17.67,27629.1231
12,AL,Barbour,0 to 1,802,23.55,2339.489
13,AL,Barbour,2 to 3,1010,29.65,6544.235
14,AL,Barbour,4 to 5,899,26.39,10709.1119
15,AL,Barbour,6+,695,20.41,30697.958
16,AL,Bibb,0 to 1,475,22.92,1527.7561
17,AL,Bibb,2 to 3,555,26.79,4725.5408
18,AL,Bibb,4 to 5,557,26.88,10669.2091
19,AL,Bibb,6+,485,23.41,27132.3719
20,AL,Blount,0 to 1,1444,27.37,1963.1289
21,AL,Blount,2 to 3,1466,27.79,5504.5977
22,AL,Blount,4 to 5,1304,24.72,10471.9423
23,AL,Blount,6+,1061,20.11,27615.6202
24,AL,Bullock,0 to 1,275,28.71,1446.7166
25,AL,Bullock,2 to 3,256,26.72,5394.3543
26,AL,Bullock,4 to 5,232,24.22,10359.295
27,AL,Bullock,6+,195,20.35,33672.3282
28,AL,Butler,0 to 1,871,24.83,2151.4208
29,AL,Butler,2 to 3,1007,28.71,5911.7406
30,AL,Butler,4 to 5,926,26.4,10765.1044
31,AL,Butler,6+,704,20.07,30536.7587
32,AL,Calhoun,0 to 1,4380,24.42,2100.6605
33,AL,Calhoun,2 to 3,4815,26.85,5525.092
34,AL,Calhoun,4 to 5,4542,25.33,9768.2606
35,AL,Calhoun,6+,4197,23.4,29169.8045
36,AL,Chambers,0 to 1,1556,26.46,1536.6075
37,AL,Chambers,2 to 3,1741,29.6,5332.77
38,AL,Chambers,4 to 5,1427,24.26,10916.8917
39,AL,Chambers,6+,1157,19.67,26728.9548
40,AL,Cherokee,0 to 1,1116,25.61,2098.1216
41,AL,Cherokee,2 to 3,1187,27.24,5256.6691
42,AL,Cherokee,4 to 5,1054,24.19,9498.7766
43,AL,Cherokee,6+,1000,22.95,26794.7266
44,AL,Chilton,0 to 1,926,26.22,2068.5167
45,AL,Chilton,2 to 3,938,26.56,6044.0758
46,AL,Chilton,4 to 5,853,24.15,10982.9491
47,AL,Chilton,6+,815,23.07,26426.796
48,AL,Choctaw,0 to 1,631,21.18,2018.1825
49,AL,Choctaw,2 to 3,919,30.85,6719.2357
50,AL,Choctaw,4 to 5,803,26.96,10921.1013
51,AL,Choctaw,6+,626,21.01,31148.615
52,AL,Clarke,0 to 1,1049,32.01,1748.1773
53,AL,Clarke,2 to 3,951,29.02,7955.8018
54,AL,Clarke,4 to 5,746,22.76,11417.8293
55,AL,Clarke,6+,531,16.2,32369.0519
56,AL,Clay,0 to 1,588,26.67,1672.2052
57,AL,Clay,2 to 3,627,28.44,5362.197
58,AL,Clay,4 to 5,524,23.76,9609.1821
59,AL,Clay,6+,466,21.13,28308.5589
60,AL,Cleburne,0 to 1,702,27.62,2061.6424
61,AL,Cleburne,2 to 3,689,27.1,5869.3907
62,AL,Cleburne,4 to 5,625,24.59,9896.7151
63,AL,Cleburne,6+,526,20.69,27966.9036
64,AL,Coffee,0 to 1,1588,21.47,2301.2033
65,AL,Coffee,2 to 3,2141,28.95,6522.9686
66,AL,Coffee,4 to 5,2041,27.6,10109.7041
67,AL,Coffee,6+,1625,21.97,27049.7873
68,AL,Colbert,0 to 1,1946,20.08,2457.1592
69,AL,Colbert,2 to 3,2919,30.12,5296.0456
70,AL,Colbert,4 to 5,2642,27.27,10292.2735
71,AL,Colbert,6+,2183,22.53,28429.052
