,fips,NatWalkInd,TotPop,ResidentialDensity,PopulationDensity,EmploymentDensity,PctLowWage,County,State
0,10001,6.833333333500001,174822,0.420903234,1.0988272635,0.141082949,0.24412393133333332,Kent,DE
1,10003,12.66666667,555133,2.6350211000000003,6.729337555500001,1.438478654,0.2358154355,New Castle,DE
2,10005,7.166666667,219540,0.6488722405,0.807456136,0.1394552885,0.26626427792537316,Sussex,DE
3,1001,4.666666667,55200,0.263938942,0.6285806965,0.076585861,0.230802753625,Autauga,AL
4,1003,6.25,208107,0.334766312,0.6050235845,0.110535306,0.24264009609574466,Baldwin,AL
5,1005,4.666666667,25782,0.022483207,0.054602073,0.009162293,0.2636670819130435,Barbour,AL
6,1007,4.833333333,22527,0.026358871,0.045202438,0.007456559,0.21791773093333333,Bibb,AL
7,1009,4.5,57645,0.058848913,0.133614033,0.015647468,0.20422328682857144,Blount,AL
8,1011,3.0,10352,0.011403971,0.01958508,0.001508134,0.2519320231428571,Bullock,AL
9,1013,4.833333333,20025,0.0264757,0.043357852,0.013075386,0.27601387136842104,Butler,AL
10,1015,5.166666667,115098,0.379990861,0.752729514,0.058941572,0.25747799615384614,Calhoun,AL
11,1017,5.666666667,33826,0.216663207,0.4569624,0.06284372,0.2502111081818182,Chambers,AL
12,1019,3.333333333,25853,0.046485751,0.072234491,0.007996753,0.23065084531578947,Cherokee,AL
13,1021,4.25,43930,0.06323206449999999,0.14694903999999998,0.016222393,0.22267626556666667,Chilton,AL
14,1023,2.666666667,13075,0.013506402,0.024237414,0.002748169,0.25316612606666666,Choctaw,AL
15,1025,4.916666666499999,24387,0.022734030500000002,0.047412886,0.012875117,0.2570235553333333,Clarke,AL
16,1027,3.166666667,13378,0.020104944,0.042577534,0.001861374,0.24853800576923077,Clay,AL
17,1029,4.333333333,14938,0.026803608,0.051285412,0.00393673,0.21085052454545455,Cleburne,AL
18,1031,5.666666667,51288,0.079260751,0.18522893,0.040335641,0.2507335143030303,Coffee,AL
19,1033,6.25,54495,0.544490714,0.9582294979999999,0.2608269705,0.24282992686956523,Colbert,AL
20,1035,3.5,12514,0.0168799305,0.0241866475,0.0017329379999999998,0.23665241150000002,Conecuh,AL
21,1037,3.333333333,10855,0.022207653,0.035866208,0.003235589,0.23026757909090909,Coosa,AL
22,1039,4.666666666499999,37351,0.08992298900000001,0.166976369,0.030881308,0.24920427676315787,Covington,AL
23,1041,4.25,13865,0.016685676,0.0350189315,0.004997793,0.22851424599999998,Crenshaw,AL
24,1043,4.583333333500001,82313,0.09631318350000001,0.2092916085,0.018233452999999997,0.23099663422580644,Cullman,AL
25,1045,5.0,49255,0.182803851,0.366179858,0.03542333,0.26522962193023253,Dale,AL
26,1047,5.666666667,40029,0.225938388,0.398308301,0.053779688,0.28187874469230767,Dallas,AL
27,1049,4.833333333,71200,0.069482455,0.156725935,0.017645887,0.22586613996226412,DeKalb,AL
28,1051,5.166666666499999,81212,0.104782894,0.2776770245,0.028729676000000003,0.2106030329130435,Elmore,AL
29,1053,5.75,37328,0.06196157050000001,0.198571339,0.0541054775,0.2623363185,Escambia,AL
30,1055,6.166666667,102939,0.488533146,0.98266335,0.145731814,0.2622259717831325,Etowah,AL
31,1057,3.1666666665000003,16585,0.018615733000000002,0.037326215999999995,0.0048360955,0.2393415885,Fayette,AL
32,1059,4.833333333500001,31542,0.0457927585,0.105436272,0.017825363,0.22910734353846152,Franklin,AL
33,1061,4.166666667,26491,0.0430271015,0.0897268725,0.009289997500000001,0.24535679733333335,Geneva,AL
34,1063,3.75,8426,0.0137139455,0.021271063,0.002152206,0.2754868962,Greene,AL
35,1065,4.0,14887,0.017869799,0.036228572,0.003022752,0.25733665453846155,Hale,AL
36,1067,3.25,17124,0.034568998000000004,0.0525558005,0.0028498845,0.2517189524375,Henry,AL
37,1069,6.5,104352,0.39521935350000004,0.885999559,0.24584780950000001,0.2692461507142857,Houston,AL
38,1071,4.333333333,52094,0.054093390500000005,0.1211209815,0.0108119215,0.23736890018181817,Jackson,AL
39,1073,10.0,659892,1.538031949,3.201143819,0.40942549949999996,0.25403404432432436,Jefferson,AL
40,1075,4.5,13933,0.026820282,0.047505208,0.0074520925,0.2161788238125,Lamar,AL
41,1077,6.5,92585,0.378545176,0.71930866,0.135077949,0.2734482104657534,Lauderdale,AL
42,1079,3.333333333,33171,0.04444545,0.100672084,0.00695365,0.23317438119354839,Lawrence,AL
43,1081,6.5,159287,0.677928661,1.637172177,0.298199965,0.26006963566233765,Lee,AL
44,1083,4.333333333,93052,0.121111869,0.363335608,0.034929835,0.21788688546511628,Limestone,AL
45,1085,3.6666666665000003,10236,0.0109205125,0.0206509455,0.0037419899999999997,0.22657943458333332,Lowndes,AL
46,1087,4.75,19054,0.052471768,0.092742957,0.008822159999999999,0.3068391837,Macon,AL
47,1089,7.5,357560,1.36516268,2.761926717,0.360963703,0.2611878088167539,Madison,AL
48,1091,4.833333333,19538,0.0175818805,0.034367139,0.0060961669999999996,0.24702567270833334,Marengo,AL
49,1093,4.666666666499999,29965,0.041864321499999996,0.088468186,0.011971731499999999,0.24013270421428573,Marion,AL
